date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:15	161131/161131	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2012:22:14%20GMT	https://www.bigrentz.com/blog/construction-trends	C:/My%20Web%20Sites/mon/www.bigrentz.com/blog/construction-trends.html	(from )
17:52:17	115/115	---M-Z	200	added ('OK')	text/plain	date:Sun,%2030%20Oct%202022%2012:22:15%20GMT	https://www.bigrentz.com/robots.txt		(from )
17:52:18	662/662	---M--	200	added ('OK')	image/png	etag:%22296-5ebe4354f17c0%22	https://www.bigrentz.com/wp-content/plugins/rocket-lazy-load/assets/img/youtube.png	C:/My%20Web%20Sites/mon/www.bigrentz.com/wp-content/plugins/rocket-lazy-load/assets/img/youtube.png	(from https://www.bigrentz.com/blog/construction-trends)
17:52:19	4979/4979	---M--	200	added ('OK')	image/jpeg	etag:%2264ef833461c4d804264f687951753692%22	https://acropolis-wp-content-uploads.s3.us-west-1.amazonaws.com/wp-content/uploads/2015/03/02100317/brlogo-150x150.jpg	C:/My%20Web%20Sites/mon/acropolis-wp-content-uploads.s3.us-west-1.amazonaws.com/wp-content/uploads/2015/03/02100317/brlogo-150x150.jpg	(from https://www.bigrentz.com/blog/construction-trends)
17:52:21	36378/36378	---M--	200	added ('OK')	image/jpeg	etag:%229d6eb9225db3b94ed8cb5c6814d4cb34%22	https://acropolis-wp-content-uploads.s3.us-west-1.amazonaws.com/wp-content/uploads/2015/03/02100317/brlogo.jpg	C:/My%20Web%20Sites/mon/acropolis-wp-content-uploads.s3.us-west-1.amazonaws.com/wp-content/uploads/2015/03/02100317/brlogo.jpg	(from https://www.bigrentz.com/blog/construction-trends)
17:52:21	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2030%20Oct%202022%2012:22:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/mon/www.googletagmanager.com/gtm.45445.delayed	(from https://www.bigrentz.com/blog/construction-trends)
17:52:22	68415/68415	---M-Z	200	added ('OK')	text/css	etag:%2210b3f-5ebe4354f17c0-gzip%22	https://www.bigrentz.com/wp-content/themes/bigrentz-202119/assets/css/post.css?ver=1.57eb540f9cb88c5bda63ee649460861abd4b684a	C:/My%20Web%20Sites/mon/www.bigrentz.com/wp-content/themes/bigrentz-202119/assets/css/postc5ec.css	(from https://www.bigrentz.com/blog/construction-trends)
17:52:23	98028/98028	---MCZ	200	added ('OK')	text/css	etag:W/%2237a2efc01a3aa30373d07596fa517dbb%22	https://assets.sitescdn.net/answers/v1.5/answers.css	C:/My%20Web%20Sites/mon/assets.sitescdn.net/answers/v1.5/answers.css	(from https://www.bigrentz.com/blog/construction-trends)
17:52:23	2546/2546	---M--	200	added ('OK')	image/png	etag:%22e87-5ebe4354f17c0%22	https://www.bigrentz.com/wp-content/themes/bigrentz-202119/assets/images/bigrentz-logo.png	C:/My%20Web%20Sites/mon/www.bigrentz.com/wp-content/themes/bigrentz-202119/assets/images/bigrentz-logo.png	(from https://www.bigrentz.com/blog/construction-trends)
17:52:23	543477/543477	---MCZ	200	added ('OK')	application/javascript	etag:W/%22021115506c065c49f64a645d744dc5cf%22	https://assets.sitescdn.net/answers/v1.5/answers.min.js	C:/My%20Web%20Sites/mon/assets.sitescdn.net/answers/v1.5/answers.min.js	(from https://www.bigrentz.com/blog/construction-trends)
17:52:25	147128/147128	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2012:22:23%20GMT	https://www.bigrentz.com/blog/topic/construction	C:/My%20Web%20Sites/mon/www.bigrentz.com/blog/topic/construction.html	(from https://www.bigrentz.com/blog/construction-trends)
